ev,measured spectrum,ev,retrived spectrum,ev,retrived spectrum dipole corrected,retrived spectrum phase dipole corrected
299.565,0.00391505005670269,97.661622,0.0797480620155039,97.7,0.03344,15.76
300.565,0.0034971654440433,97.914486,0.0824321705426357,97.95,0.03453,15.62
301.565,0.00275242856599681,98.16735,0.0851647286821705,98.2,0.03564,15.38
302.565,0.00335977470914162,98.420214,0.0879651162790698,98.46,0.03678,15.24
303.565,0.00294130420848691,98.673078,0.0907751937984496,98.71,0.03793,15.1
304.565,0.00383060894937772,98.925942,0.0935852713178295,98.96,0.03909,14.86
305.565,0.00168208443455325,99.178806,0.0965891472868217,99.21,0.04033,14.7199999999999
306.565,0.0021038505551816,99.43167,0.0994961240310078,99.47,0.04159,14.48
307.565,0.00252627579980469,99.684534,0.1025,99.72,0.0429,14.34
308.565,0.00173151873415806,99.937398,0.105600775193798,99.97,0.04425,14.1
309.565,0.00173203138615396,100.190262,0.108604651162791,100.2,0.04558,13.96
310.565,0.00238873859290418,100.443126,0.111802325581395,100.5,0.04699,13.72
311.565,0.00210853765914414,100.69599,0.115,100.7,0.04841,13.58
312.565,0.0011717759906327,100.948854,0.118197674418605,101,0.04984,13.34
313.565,0.00159442094325404,101.201718,0.121492248062015,101.2,0.05132,13.2
314.565,8.44484309249106E-4,101.454582,0.124786821705426,101.5,0.05281,13.06
315.565,0.0010327740637439,101.707446,0.128178294573643,101.7,0.05434,12.82
316.565,8.92234180867389E-4,101.96031,0.13156976744186,102,0.05589,12.68
317.565,9.39544636489184E-4,102.213174,0.135058139534884,102.2,0.05749,12.44
318.565,9.39910816486257E-4,102.466038,0.138546511627907,102.5,0.05911,12.3
319.565,2.82105069744823E-4,102.718902,0.14203488372093,102.8,0.06073,12.06
320.565,1.88070046496549E-4,102.971766,0.14562015503876,103,0.0624,11.92
321.565,3.76433036990756E-4,103.22463,0.149302325581395,103.3,0.06413,11.68
322.565,1.88362990494207E-4,103.477494,0.152984496124031,103.5,0.06587,11.54
323.565,1.88362990494207E-4,103.730358,0.156666666666667,103.8,0.06762,11.4
324.565,3.29781705363691E-4,103.983222,0.160445736434109,104,0.06943,11.16
325.565,3.77165396984901E-4,104.236086,0.16422480620155,104.3,0.07128,11.02
326.565,1.41491950868899E-4,104.48895,0.168100775193798,104.5,0.07319,10.78
327.565,9.43279672459326E-5,104.741814,0.171976744186047,104.8,0.07512,10.64
328.565,4.72372196223809E-5,104.994678,0.175949612403101,105,0.07711,10.4
329.565,9.44744392447617E-5,105.247542,0.179922480620155,105.3,0.07912,10.26
330.565,0,105.500406,0.183895348837209,105.5,0.08114,10.02
331.565,9.45476752441762E-5,105.75327,0.18796511627907,105.8,0.08322,9.88000000000002
332.565,0,106.006134,0.192131782945736,106,0.08535,9.64000000000001
333.565,9.46209112435908E-5,106.258998,0.196298449612403,106.3,0.08749,9.5
334.565,0,106.511862,0.20046511627907,106.5,0.08966,9.35999999999999
335.565,4.73836916212099E-5,106.764726,0.204631782945736,106.8,0.09184,9.11999999999995
336.565,0,107.01759,0.208895348837209,107.1,0.09409,8.97999999999999
337.565,0,107.270454,0.213255813953488,107.3,0.09639,8.74
338.565,0,107.523318,0.217616279069767,107.6,0.09871,8.59999999999999
339.565,0,107.776182,0.221976744186047,107.8,0.101,8.35999999999999
340.565,0,108.029046,0.226434108527132,108.1,0.1034,8.21999999999998
341.565,9.4913855241249E-5,108.28191,0.230891472868217,108.3,0.1058,8.08000000000001
342.565,0,108.534774,0.235445736434109,108.6,0.1083,7.84
343.565,0,108.787638,0.239903100775194,108.8,0.1108,7.70000000000002
344.565,0,109.040502,0.244554263565891,109.1,0.1133,7.46000000000001
345.565,0,109.293366,0.249108527131783,109.3,0.1159,7.31999999999997
346.565,0,109.54623,0.253759689922481,109.6,0.1185,7.08000000000001
347.565,0,109.799094,0.258507751937985,109.8,0.1211,6.93999999999999
348.565,4.76033996194536E-5,110.051958,0.263255813953488,110.1,0.1238,6.69999999999999
349.565,0,110.304822,0.268003875968992,110.3,0.1265,6.55999999999997
350.565,0,110.557686,0.272751937984496,110.6,0.1292,6.41999999999997
351.565,4.76766356188681E-5,110.81055,0.277596899224806,110.8,0.132,6.17999999999998
352.565,0,111.063414,0.282441860465116,111.1,0.1348,6.03999999999998
353.565,0,111.316278,0.287383720930233,111.4,0.1376,5.80000000000001
354.565,0,111.569142,0.292325581395349,111.6,0.1405,5.66
355.565,9.54997432365653E-5,111.822006,0.297267441860465,111.9,0.1434,5.41999999999997
356.565,9.54997432365653E-5,112.07487,0.302306201550388,112.1,0.1464,5.28
357.565,0,112.327734,0.307248062015504,112.4,0.1494,5.14000000000001
358.565,4.78231076176972E-5,112.580598,0.312383720930233,112.6,0.1524,4.89999999999998
359.565,0,112.833462,0.317422480620155,112.9,0.1555,4.75999999999996
360.565,0,113.086326,0.322558139534884,113.1,0.1586,4.51999999999996
361.565,9.5719451234809E-5,113.33919,0.327693798449612,113.4,0.1617,4.37999999999997
362.565,1.91585374468447E-4,113.592054,0.332829457364341,113.6,0.1648,4.14000000000001
363.565,0,113.844918,0.338062015503876,113.9,0.168,4
364.565,0,114.097782,0.343294573643411,114.1,0.1713,3.85999999999999
365.565,4.79695796165263E-5,114.350646,0.348527131782946,114.4,0.1746,3.61999999999998
366.565,0,114.60351,0.353759689922481,114.6,0.1779,3.47999999999999
367.565,9.59391592330526E-5,114.856374,0.359089147286822,114.9,0.1812,3.24
368.565,9.60123952324671E-5,115.109238,0.364418604651163,115.1,0.1846,3.10000000000002
369.565,0,115.362102,0.369748062015504,115.4,0.188,2.85999999999999
370.565,0,115.614966,0.375174418604651,115.6,0.1915,2.71999999999995
371.565,0,115.86783,0.380503875968992,115.9,0.1949,2.58000000000001
372.565,9.61588672312962E-5,116.120694,0.38593023255814,116.2,0.1985,2.34
373.565,0,116.373558,0.391356589147287,116.4,0.2021,2.19999999999999
374.565,0,116.626422,0.396782945736434,116.7,0.2056,1.96000000000001
375.565,0,116.879286,0.402306201550388,116.9,0.2093,1.81999999999997
376.565,0,117.13215,0.407732558139535,117.2,0.213,1.67999999999998
377.565,0,117.385014,0.413255813953488,117.4,0.2167,1.43999999999999
378.565,0,117.637878,0.418779069767442,117.7,0.2204,1.30000000000001
379.565,0,117.890742,0.424302325581395,117.9,0.2242,1.05999999999997
380.565,0,118.143606,0.429825581395349,118.2,0.2281,0.919999999999966
381.565,0,118.39647,0.435445736434109,118.4,0.232,0.780000000000001
382.565,0,118.649334,0.440968992248062,118.7,0.2358,0.539999999999985
383.565,0,118.902198,0.446589147286822,118.9,0.2397,0.399999999999977
384.565,0,119.155062,0.452209302325581,119.2,0.2437,0.159999999999997
385.565,0,119.407926,0.457829457364341,119.4,0.2477,0.0199999999999605
386.565,0,119.66079,0.463449612403101,119.7,0.2517,-0.120000000000033
387.565,0,119.913654,0.46906976744186,119.9,0.2558,-0.359999999999992
388.565,0,120.166518,0.47468992248062,120.2,0.2599,-0.5
389.565,0,120.419382,0.48031007751938,120.5,0.264,-0.740000000000038
390.565,0,120.672246,0.48593023255814,120.7,0.2681,-0.880000000000017
391.565,0,120.92511,0.491647286821705,121,0.2723,-1.02000000000001
392.565,0,121.177974,0.497267441860465,121.2,0.2764,-1.26
393.565,0,121.430838,0.502984496124031,121.5,0.2807,-1.39999999999998
394.565,0,121.683702,0.508604651162791,121.7,0.285,-1.53999999999999
395.565,0,121.936566,0.514321705426357,122,0.2893,-1.78000000000005
396.565,4.85554676118426E-5,122.18943,0.519941860465116,122.2,0.2936,-1.92
397.565,0,122.442294,0.525658914728682,122.5,0.298,-2.16
398.565,0,122.695158,0.531279069767442,122.7,0.3023,-2.30000000000001
399.565,0,122.948022,0.536996124031008,123,0.3067,-2.44000000000003
400.565,0,123.200886,0.542616279069767,123.2,0.3111,-2.68000000000003
401.565,0,123.45375,0.548333333333333,123.5,0.3156,-2.82000000000001
402.565,0,123.706614,0.553953488372093,123.7,0.3201,-3.06000000000001
403.565,0,123.959478,0.559670542635659,124,0.3247,-3.19999999999999
