ev	intensity	ev	intensity
		368.318	7.39E-05
		368.704	7.01E-05
		369.09	6.64E-05
		369.476	6.28E-05
		369.862	5.94E-05
		370.248	5.60E-05
		370.634	5.27E-05
		371.02	4.95E-05
		371.406	4.64E-05
		371.792	4.34E-05
		372.178	4.06E-05
		372.564	3.78E-05
		372.95	3.51E-05
		373.336	3.25E-05
		373.722	3.00E-05
		374.108	2.76E-05
		374.494	2.53E-05
		374.88	2.31E-05
		375.266	2.10E-05
		375.652	1.90E-05
		376.038	1.70E-05
		376.424	1.52E-05
		376.81	1.34E-05
		377.196	1.17E-05
		377.582	1.01E-05
		377.968	8.55E-06
		378.354	7.10E-06
		378.74	5.71E-06
		379.126	4.40E-06
		379.512	3.16E-06
		379.898	1.98E-06
		380.284	8.69E-07
		380.67	0
		381.056	0
		381.442	0
		381.828	0
		382.214	0
		382.6	0
		382.986	0
		383.372	0
		383.758	0
		384.144	0
		384.53	0
		384.916	0
		385.302	0
		385.688	0
		386.074	0
		386.46	0
		386.846	0
		387.232	0
		387.618	0
		388.004	0
		388.39	0
		388.776	0
		389.162	0
		389.548	0
		389.934	0
		390.32	0
		390.706	0
		391.092	0
		391.478	0
		391.864	0
		392.25	0
		392.636	0
		393.022	0
		393.408	0
		393.794	0
		394.18	0
		394.566	0
		394.952	0
		395.338	0
		395.724	0
		396.11	0
		396.496	0
		396.882	0
		397.268	0
