Comments,,"Normalize to [0, 1] of B",,,,
413,161.422,0.63491776613049,-100.9,7959,54.18,0.9389
414,161.808,0.627507681185614,-99.83,7866,54.09,0.9398
415,162.194,0.620278330019881,-98.78,7774,53.97,0.9408
416,162.58,0.612868245075004,-97.74,7681,53.84,0.9418
417,162.966,0.605458160130128,-96.69,7590,53.68,0.9428
418,163.352,0.598228808964395,-95.65,7498,53.51,0.9438
419,163.738,0.590818724019519,-94.6,7406,53.32,0.9448
420,164.124,0.583589372853786,-93.56,7315,53.12,0.9458
421,164.51,0.576360021688053,-92.51,7225,52.9,0.9469
422,164.896,0.56913067052232,-91.47,7134,52.66,0.948
423,165.282,0.562082053135731,-90.43,7045,52.41,0.949
424,165.668,0.554852701969998,-89.39,6955,52.14,0.9501
425,166.054,0.547804084583409,-88.34,6866,51.85,0.9512
426,166.44,0.540755467196819,-87.3,6778,51.56,0.9523
427,166.826,0.53370684981023,-86.27,6690,51.25,0.9535
428,167.212,0.52665823242364,-85.23,6603,50.92,0.9546
429,167.598,0.519790348816194,-84.19,6516,50.59,0.9557
430,167.984,0.512922465208748,-83.15,6430,50.24,0.9569
431,168.37,0.506054581601301,-82.11,6344,49.87,0.9581
432,168.756,0.499367431772998,-81.08,6259,49.5,0.9592
433,169.142,0.492499548165552,-80.04,6175,49.12,0.9604
434,169.528,0.485812398337249,-79.01,6091,48.72,0.9616
435,169.914,0.47930598228809,-77.98,6008,48.32,0.9628
436,170.3,0.472618832459787,-76.94,5926,47.91,0.964
437,170.686,0.466112416410627,-75.91,5844,47.48,0.9653
438,171.072,0.459786734140611,-74.88,5763,47.05,0.9665
439,171.458,0.453280318091451,-73.85,5683,46.61,0.9677
440,171.844,0.446954635821435,-72.82,5604,46.16,0.969
441,172.23,0.440809687330562,-71.79,5526,45.71,0.9702
442,172.616,0.434484005060546,-70.76,5448,45.24,0.9715
443,173.002,0.428339056569673,-69.74,5371,44.77,0.9728
444,173.388,0.422374841857943,-68.71,5295,44.3,0.974
445,173.774,0.41622989336707,-67.68,5219,43.82,0.9753
446,174.16,0.410446412434484,-66.66,5145,43.33,0.9766
447,174.546,0.404482197722754,-65.64,5071,42.84,0.9779
448,174.932,0.398698716790168,-64.61,4998,42.34,0.9791
449,175.318,0.392915235857582,-63.59,4927,41.84,0.9804
450,175.704,0.387312488704139,-62.57,4855,41.34,0.9817
451,176.09,0.381709741550696,-61.55,4785,40.83,0.983
452,176.476,0.376106994397253,-60.53,4716,40.32,0.9843
453,176.862,0.370684981022953,-59.51,4647,39.81,0.9856
454,177.248,0.365262967648653,-58.49,4580,39.29,0.9869
455,177.634,0.360021688053497,-57.48,4513,38.77,0.9882
456,178.02,0.354780408458341,-56.46,4447,38.26,0.9895
457,178.406,0.349539128863185,-55.44,4382,37.73,0.9908
458,178.792,0.344478583047171,-54.43,4318,37.21,0.9921
459,179.178,0.339418037231158,-53.42,4255,36.69,0.9934
460,179.564,0.334357491415145,-52.4,4193,36.17,0.9947
461,179.95,0.329477679378276,-51.39,4132,35.64,0.996
462,180.336,0.324778601120549,-50.38,4071,35.12,0.9973
463,180.722,0.31989878908368,-49.37,4012,34.6,0.9986
464,181.108,0.315199710825953,-48.36,3953,34.08,0.9999
465,181.494,0.31068136634737,-47.36,3895,33.56,1.001
466,181.88,0.306163021868787,-46.35,3838,33.04,1.003
467,182.266,0.301644677390204,-45.34,3782,32.52,1.004
468,182.652,0.297307066690764,-44.34,3727,32,1.005
469,183.038,0.292969455991325,-43.33,3673,31.49,1.006
470,183.424,0.288631845291885,-42.33,3620,30.98,1.008
471,183.81,0.284474968371589,-41.33,3567,30.47,1.009
